0,SansText,our reports showed a mass gg    ive anomaly in the timespace  g ce continuum.,,,,,
0,SansText,timelines jumping left and  g   right stopping and startin g   g. . .,,,,,
0.2,BlackScreen,0,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.4,BoneV,503,286,100,2,300,1
0.4,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.4,BoneV,503,286,100,2,300,1
0.4,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.4,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.93333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.4,BoneV,128,286,100,0,300,1
0.33333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.4,BoneV,128,286,100,0,300,1
0.33333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.3,BoneV,128,286,100,0,300,1
1.66666,EndAttack,,,,,,
0,sanshead,blueeye,,,,,
