0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,140,
0,PlatformRepeat,-20,306,51,0,120,8,160,
0,SET,Loop,5,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.56666,0.1
0.6,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.56666,0.1
0.6,JMPNZ,8,$Loop,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansTorso,shrug,,,,,,,
0,SansText,and getting to the surfac g    e doesn't really appeal an g     ymore either.,,,,,,,,,,,,,,,,
0,SansHead,Default,,,,,,,
0,SansTorso,Default,,,,,,,
0,EndAttack,,,,,,,,
0,sanshead,blueeye,,,,,,
